Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0YThXX1dqUpYBLyJNAsF9N,"If We Being Rëal","2093","Yeat",2024-02-16,172500,75,true,dalootrobber2121,2024-04-14T19:53:33Z,"rage rap","Field Trip Recordings/Capitol Records",0.457,0.499,1,-6.67,1,0.0334,0.247,0.0000634,0.171,0.0348,127.95,4
spotify:track:0kswxxNV4DLBqJeMIqFh5n,"She Make It Clap","She Make It Clap","Soulja Boy",2021-04-15,111549,55,true,dalootrobber2121,2024-04-14T23:41:20Z,"","SODMG Records",0.941,0.471,1,-13.087,1,0.494,0.0308,0.00838,0.0837,0.487,119.898,4
spotify:track:5WzfCu5fhgm7jv896EN1Md,"She","Goblin","Tyler, The Creator;Frank Ocean",2011-05-09,253386,74,true,dalootrobber2121,2024-04-20T20:16:57Z,"","XL Recordings",0.35,0.621,8,-6.495,0,0.233,0.256,0.0000344,0.613,0.459,83.375,4
spotify:track:0TwBtDAWpkpM3srywFVOV5,"Crazy In Love (feat. JAY-Z)","Dangerously In Love","Beyoncé;JAŸ-Z",2003-03-10,235933,81,false,dalootrobber2121,2024-04-21T01:22:49Z,"hip hop,east coast hip hop,rap","Columbia",0.664,0.759,2,-6.583,0,0.209,0.00238,0,0.0598,0.701,99.252,4
spotify:track:1gZ7i4qxXkHZb1r6eioaAP,"Don't Cha","PCD","The Pussycat Dolls;Busta Rhymes",2005-01-01,272080,69,false,dalootrobber2121,2024-04-21T04:45:53Z,"east coast hip hop","Pussycat Dolls",0.88,0.637,1,-3.493,1,0.0893,0.0051,0.00000237,0.0959,0.568,119.979,4
spotify:track:1Ser4X0TKttOvo8bgdytTP,"Come Get Her","SremmLife","Rae Sremmurd",2015-01-06,212946,73,true,dalootrobber2121,2024-04-22T17:56:17Z,"","Mike WiLL Made-It",0.689,0.564,2,-6.226,1,0.14,0.19,0,0.0721,0.122,185.03,4
spotify:track:1UMKquW1olreYO1LlLmTqi,"Gas Pedal","Remember Me","Sage The Gemini;Iamsu!",2014-03-25,208160,68,true,dalootrobber2121,2024-04-22T18:20:14Z,"hyphy","Empire Distribution/Republic",0.843,0.538,1,-8.028,1,0.0835,0.0273,0,0.124,0.428,97.49,4
spotify:track:6QgkOxBXqVRjZ1JcIDbDYY,"Booty Wurk (One Cheek At a Time) (feat. Joey Galaxy)","Happy Hour: The Greatest Hits","T-Pain;Joey Galaxy",2014,235306,68,false,dalootrobber2121,2024-04-22T23:28:13Z,"","Nappy Boy/Konvict Muzik/RCA Records",0.786,0.689,1,-6.113,1,0.315,0.00931,0.00000114,0.214,0.874,157.936,4
spotify:track:3UhME4aF6O6sdT1t0ZG21T,"Tender","Tender","Quavo",2024-04-19,151799,39,true,dalootrobber2121,2024-04-22T23:31:23Z,"","Quality Control Music/Motown Records",0.737,0.653,1,-5.449,0,0.0626,0.19,0,0.0717,0.593,133.906,4
spotify:track:2dshtwEGNpyrE0x69wUiHj,"DEEP IN THE WATER","Deep in the Water","Don Toliver",2024-03-14,170453,55,true,dalootrobber2121,2024-04-23T00:19:53Z,"","Cactus Jack / Atlantic",0.671,0.543,7,-5.45,0,0.0357,0.376,0.000209,0.11,0.112,124.051,4
spotify:track:6SPgp2qK3fb4wPX1SldrNf,"Had Enough (feat. Quavo & Offset)","Heaven Or Hell","Don Toliver;Offset;Quavo",2020-03-13,157133,65,true,dalootrobber2121,2024-04-23T00:39:07Z,"","We Run It Ent./Cactus Jack/Atlantic",0.748,0.789,2,-4.579,1,0.105,0.26,0,0.13,0.67,147.957,4
spotify:track:4zrwPfq5ENLzjq41Txs2HR,"Want Her","Cold Summer","Mustard;Quavo;YG",2016-09-30,275560,62,true,dalootrobber2121,2024-04-23T00:54:37Z,"","Roc Nation/DJ Mustard P&D",0.828,0.607,1,-6.241,1,0.0432,0.0769,0.000683,0.108,0.409,101.012,4
spotify:track:3eh51r6rFWAlGQRlHx9QnQ,"Push Ups","Push Ups","Drake",2024-04-19,232774,71,true,dalootrobber2121,2024-04-25T16:13:23Z,"rap","OVO/Republic",0.598,0.696,2,-4.789,1,0.112,0.0153,0,0.219,0.209,91.057,4
spotify:track:6MdqqkQ8sSC0WB4i8PyRuQ,"No Diggity","Another Level","Blackstreet;Dr. Dre;Queen Pen",1996-09-09,304600,79,false,dalootrobber2121,2024-04-25T16:28:58Z,"new jack swing,old school hip hop,g-funk,gangster rap,west coast hip hop,hip hop,rap","Interscope",0.867,0.646,1,-4.674,0,0.288,0.303,0,0.279,0.67,88.634,4
spotify:track:1KGi9sZVMeszgZOWivFpxs,"No Scrubs","Fanmail","TLC",1999-02-23,214400,84,false,dalootrobber2121,2024-04-25T16:44:03Z,"","Arista/LaFace Records",0.743,0.675,8,-4.267,0,0.0953,0.0251,0.000717,0.0685,0.59,92.909,4
spotify:track:6uQKuonTU8VKBz5SHZuQXD,"This Is How We Do It","This Is How We Do It","Montell Jordan;Wino",1995-01-01,238800,67,false,dalootrobber2121,2024-04-26T00:05:15Z,"new jack swing,doom metal,stoner metal,sludge metal,stoner rock","RAL (Rush Associated Label)",0.799,0.623,0,-9.374,1,0.0812,0.0141,0,0.43,0.773,103.642,4
spotify:track:5Mmk2ii6laakqfeCT7OnVD,"Thong Song","Unleash The Dragon","Sisqo",1999-11-30,253733,75,true,dalootrobber2121,2024-04-26T00:26:10Z,"","Def Jam Recordings",0.707,0.888,2,-6.959,1,0.0654,0.12,0.0000964,0.07,0.714,121.543,4
spotify:track:6Wnlq1Pu3I0BajLvxn05Vr,"Try Again","Aaliyah","Aaliyah",2001-07-07,284640,1,false,dalootrobber2121,2024-04-26T01:02:13Z,"r&b","Blackground Records, LLC",0.794,0.662,6,-4.913,0,0.249,0.0789,0,0.0937,0.683,93.053,4
spotify:track:7xYnUQigPoIDAMPVK79NEq,"Run It! (feat. Juelz Santana)","Chris Brown (Expanded Edition)","Chris Brown;Juelz Santana",2005,229866,76,false,dalootrobber2121,2024-04-28T15:36:31Z,"r&b","Jive",0.846,0.482,1,-6.721,0,0.129,0.0246,0,0.393,0.212,100.969,4
spotify:track:6AI3ezQ4o3HUoP6Dhudph3,"Not Like Us","Not Like Us","Kendrick Lamar",2024-05-04,274192,87,true,dalootrobber2121,2024-05-06T03:16:33Z,"hip hop,west coast hip hop","Kendrick Lamar, under exclusive license to Interscope Records",0.898,0.472,1,-7.001,1,0.0776,0.0107,0,0.141,0.214,101.061,4
spotify:track:3Sz8P5ZFLARe2oJeb0qsyb,"MILLION DOLLAR BABY (VHS)","MILLION DOLLAR BABY","Tommy Richman",2024-04-26,155151,1,false,dalootrobber2121,2024-05-07T18:30:26Z,"","ISO Supremacy. Under exclusive license to PULSE Records.",0.804,0.731,1,-6.88,0,0.09,0.104,0.00000211,0.0969,0.663,138.014,4
spotify:track:77DRzu7ERs0TX3roZcre7Q,"euphoria","euphoria","Kendrick Lamar",2024-04-30,383639,75,true,dalootrobber2121,2024-05-11T16:49:52Z,"hip hop,west coast hip hop","Kendrick Lamar, under exclusive license to Interscope Records",0.831,0.643,1,-5.002,1,0.11,0.046,0,0.084,0.142,139.948,4
spotify:track:2n4uOdMHzEvcZ0KP7iQnay,"Lose My Breath","Destiny Fulfilled","Destiny's Child",2004,242013,68,false,dalootrobber2121,2024-05-12T17:22:06Z,"","Sony Urban Music/Columbia",0.814,0.899,1,-5.958,1,0.0637,0.00727,0.219,0.0979,0.545,119.011,4
spotify:track:2Ec33AVlkTTq8BHFgBTdQs,"Futsal Shuffle 2020","Futsal Shuffle 2020","Lil Uzi Vert",2019-12-12,198912,61,true,dalootrobber2121,2024-05-13T11:19:44Z,"melodic rap","Generation Now/Atlantic",0.881,0.457,7,-8.191,0,0.156,0.0327,0,0.231,0.296,136.97,4
spotify:track:5B0kgjHULYJhAQkK5XsMoC,"WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign)","CALL ME IF YOU GET LOST","Tyler, The Creator;YoungBoy Never Broke Again;Ty Dolla $ign",2021-06-25,121572,69,true,dalootrobber2121,2024-05-14T23:41:38Z,"trap soul","Columbia",0.493,0.653,0,-5.666,0,0.0466,0.269,0,0.511,0.852,142.347,4
spotify:track:1Y5Jvi3eLi4Chwqch9GMem,"Super Gremlin","Back For Everything","Kodak Black",2022-02-25,200547,72,true,dalootrobber2121,2024-05-15T00:11:40Z,"","Atlantic Records",0.825,0.414,2,-6.634,1,0.144,0.00265,0,0.357,0.106,72.993,4
spotify:track:2M1LHRfp0vsJKjKfKxOUx3,"5unna","Snotty World (Deluxe)","Homixide Gang;R5 Homixide",2021-08-25,100414,22,true,dalootrobber2121,2024-05-15T02:55:50Z,"rage rap","Snotty World",0.688,0.641,11,-6.327,1,0.329,0.000129,0,0.227,0.553,146.223,4
spotify:track:2cQxzcGw5eUJtqIdYuRoLq,"money & sex","If Looks Could Kill","Destroy Lonely;Ken Carson",2023-05-05,272364,60,true,dalootrobber2121,2024-05-15T14:01:45Z,"rage rap","Opium/Interscope",0.717,0.76,9,-6.027,1,0.084,0.00325,0.000478,0.203,0.211,141.031,4
spotify:track:0N3A0tvQ3ppZerKA8Gsztp,"Swear to God (feat. Future)","Swear to God (feat. Future)","Tee Grizzley;Future",2024-05-10,180250,49,true,dalootrobber2121,2024-05-17T17:04:54Z,"rap","300 Entertainment",0.777,0.793,0,-4.42,1,0.31,0.0797,0,0.736,0.88,152.072,4
