Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2s1dlGGVSdIB9uFnu0GvXS,"Breathe","Breathe","Glude",2016-03-26,202894,12,false,31t24nkiduevadb6wl7j25kefjme,2026-04-09T13:27:26Z,"","NCS",0.547,0.81,3,-4.034,0,0.0288,0.0561,0.000272,0.378,0.504,95.038,4
spotify:track:3yKUaCY0MZoZequHYQg6ZE,"I Know","I Know","3rd Prototype",2018-10-13,232968,24,false,31t24nkiduevadb6wl7j25kefjme,2026-04-09T13:27:26Z,"","NCS",0.65,0.888,6,-7.086,1,0.0792,0.0209,0.525,0.178,0.199,127.923,4
spotify:track:596lDSwIMzDoiq3E6jJ0wC,"Howling","Howling","Cartoon;Jéja;Asena",2020-03-27,204549,32,false,31t24nkiduevadb6wl7j25kefjme,2026-04-09T13:27:26Z,"","NCS",0.568,0.72,9,-6.465,0,0.052,0.0338,0.164,0.22,0.472,173.959,4
spotify:track:56P31WmtlK5jXESQw8fhSz,"On That Day","On That Day","Desmeon;eldiablo;Flint;ZADIK",2014-08-31,225000,17,false,31t24nkiduevadb6wl7j25kefjme,2026-04-09T13:27:26Z,"dubstep,breakbeat,big beat","NCS",0.291,0.827,9,-3.774,0,0.0731,0.00768,0.179,0.122,0.285,139.764,4
spotify:track:2JYDzji1fUnYRasWXI0qtH,"Red Line","Red Line","Anna Yvette",2019-07-24,265787,20,false,31t24nkiduevadb6wl7j25kefjme,2026-04-09T13:27:26Z,"chillstep,dubstep","NCS",0.606,0.775,5,-5.586,1,0.0315,0.000352,0.0437,0.117,0.522,109.971,4
spotify:track:2yI7IlisyAyomNMH5Vj4MO,"Frontier","Frontier","Krale;Minavae;Jay Christopher",2014-10-30,248725,11,false,31t24nkiduevadb6wl7j25kefjme,2026-04-09T13:27:26Z,"","NCS",0.167,0.709,10,-1.465,1,0.0461,0.0668,0.138,0.109,0.0754,110.893,5
spotify:track:04sypgrlB6lw9E1bw2rC1B,"Daydream","Daydream","Waysons",2015-11-28,288750,10,false,31t24nkiduevadb6wl7j25kefjme,2026-04-09T13:27:26Z,"future house","NCS",0.57,0.915,9,-4.878,1,0.0408,0.00204,0.564,0.0967,0.36,128.028,4
spotify:track:5f9W174NPbE0OiQeo0D5Wx,"Vision pt. II","Vision pt. II","Lost Sky;She Is Jules",2021-10-22,208021,33,false,31t24nkiduevadb6wl7j25kefjme,2026-04-09T13:27:26Z,"melodic bass","NCS",0.569,0.774,3,-4.827,0,0.04,0.17,0.025,0.137,0.418,149.979,4
spotify:track:1cOnkjatYqopUe2Ka9fjOo,"Gizmo","Gizmo","Syn Cole",2019-08-09,191612,21,false,31t24nkiduevadb6wl7j25kefjme,2026-04-09T13:27:26Z,"tropical house,edm","NCS",0.788,0.793,7,-3.568,1,0.0336,0.231,0.246,0.106,0.752,124.039,4
spotify:track:134KuDqugUFSbDUk0kZmLk,"War Zone","War Zone","Unknown Brain;M.I.M.E",2019-07-12,183007,26,true,31t24nkiduevadb6wl7j25kefjme,2026-04-09T13:27:26Z,"edm trap","NCS",0.372,0.835,10,-4.049,0,0.264,0.156,0.000369,0.0973,0.463,80.014,4
